"","x"
"algeria",2460542756.1142
"benin",1623348496.00522
"botswana",2708394122.64627
"burkina faso",1165969906.3524
"burundi",1268819920.14297
"cameroon",1256296876.00416
"cape verde",2194226999.88296
"central african republic",1318561199.59077
"chad",1616581994.98819
"democratic republic of the congo",1724886019.49327
"djibouti",1191595331.82873
"egypt",3318396042.04333
"eritrea",1844632262.91478
"ethiopia",2412482780.10222
"gabon",2575516400.3858
"ghana",1797099524.27788
"guinea",1658119211.17526
"guinea-bissau",1306298319.13057
"kenya",1417565014.62839
"lesotho",1719542103.28955
"madagascar",1250419527.30773
"malawi",1512832148.27552
"mali",1187724152.0173
"mauritania",1179913859.35429
"mauritius",2546404142.48464
"morocco",1904627231.16846
"mozambique",1217652733.39242
"namibia",1945487016.24929
"niger",1791891459.23706
"nigeria",3520132868.90454
"senegal",1272091567.18705
"south africa",6092915815.06414
"swaziland",1554903626.7057
"the gambia",4015297622.87451
"tunisia",2195880045.26521
"uganda",1312312833.99921
"zambia",1301616491.36725
"zimbabwe",1798649932.6508
