country,religion90,religion00,religion10,religionsequence,,
Afghanistan,Muslim,Muslim,Muslim,YYY,,
Albania,Muslim,none,none,YNN,,
Algeria,Muslim,Muslim,Muslim,YYY,,
Andorra,Catholic,Catholic,Catholic,YYY,,
Angola,Catholic,Catholic,none,YYN,,
Antigua and Barbuda,none,none,none,NNN,,
Argentina,Catholic,Catholic,Catholic,YYY,,
Armenia,Orthodox,none,Orthodox,YNY,,
Australia,none,none,none,NNN,,
Austria,none,none,none,NNN,,
Ethiopia,Orthodox,Orthodox,none,YYN,,
Fiji,none,none,none,NNN,,
Finland,Protestant,Protestant,Protestant,YYY,,
France,none,none,none,NNN,,
Gabon,none,none,none,NNN,,
Gambia,none,none,none,NNN,,
Georgia,Orthodox,none,Orthodox,YNY,,
Germany,none,none,none,NNN,,
Ghana,none,none,none,NNN,,
Greece,Orthodox,Orthodox,Orthodox,YYY,,
Grenada,none,none,none,NNN,,
Guatemala,Catholic,Catholic,Catholic,YYY,,
Guinea,none,none,none,NNN,,
Guinea-Bissau,Catholic,Catholic,none,YYN,,
Guyana,none,none,none,NNN,,
Haiti,Catholic,Catholic,Catholic,YYY,,
Honduras,Catholic,Catholic,Catholic,YYY,,
Hungary,none,none,none,NNN,,
Iceland,Protestant,Protestant,Protestant,YYY,,
India,none,none,none,NNN,,
Indonesia,Protestant,none,none,YNN,,
Iran,Muslim,Muslim,Muslim,YYY,,
Iraq,Muslim,Muslim,Muslim,YYY,,
Ireland,Catholic,Catholic,none,YYN,,
Israel,none,Jewish,Jewish,NYY,,
Italy,Catholic,Catholic,Catholic,YYY,,
Jamaica,none,none,none,NNN,,
Japan,Buddhist**,none,none,YNN,,
Jordan,Muslim,Muslim,Muslim,YYY,,
Kazakhstan,Orthodox,none,none,YNN,,
Kenya,none,none,none,NNN,,
Kiribati,none,none,none,NNN,,
Korea (North),Confucian,none,none,YNN,,
Korea (South),Confucian,none,none,YNN,,
Kuwait, Muslim,Muslim,Muslim,YYY,,
Kyrgyz Republic,Orthodox,none,Muslim,YNY,,
Laos,Buddhist,Buddhist,none,YYN,,
Latvia,Orthodox,none,none,YNN,,
Lebanon,Muslim,none,none,YNN,,
Lesotho,none,none,none,NNN,,
Liberia,Protestant,Protestant,Protestant,YYY,,
Libya,Muslim,Muslim,Muslim,YYY,,
Liechtenstein,Catholic,Catholic,Catholic,YYY,,
Lithuania,Catholic,none,none,YNN,,
Luxembourg,Catholic,Catholic,Catholic,YYY,,
Macedonia,Orthodox,none,Orthodox,YNY,,
Madagascar,none,none,none,NNN,,
Malawi,none,none,none,NNN,,
Malaysia,Muslim,Muslim,Muslim,YYY,,
Maldive Islands,Muslim,Muslim,Muslim,YYY,,
Mali,none,none,none,NNN,,
Malta,Catholic,Catholic,Catholic,YYY,,
Marshall Islands,none,none,none,NNN,,
Mauritania,Muslim,Muslim,Muslim,YYY,,
Mauritius,none,none,none,NNN,,
Mexico,none,none,none,NNN,,
Micronesia,none,none,none,NNN,,
Moldova,Orthodox,none,Orthodox,YNY,,
Monaco,Catholic,Catholic,Catholic,YYY,,
Mongolia,Buddhist,none,none,YNN,,
Morocco,Muslim,Muslim,Muslim,YYY,,
Mozambique,Catholic,Catholic,none,YYN,,
Myanmar,none,none,none,NNN,,
Namibia,none,none,none,NNN,,
Nepal,Hindu,Hindu,Hindu,YYY,,
Netherlands,none,none,none,NNN,,
New Zealand,none,none,none,NNN,,
Nicaragua,none,none,none,NNN,,
Niger,none,none,none,NNN,,
Nigeria,none,none,none,NNN,,
Norway,Protestant,Protestant,Protestant,YYY,,
Oman,Muslim,Muslim,Muslim,YYY,,
Pakistan,none,Muslim,Muslim,NYY,,
Panama,Catholic,Catholic,Catholic,YYY,,
Papua New Guinea,none,none,none,NNN,,
Paraguay,Catholic,Catholic,Catholic,YYY,,
Peru,Catholic,Catholic,Catholic,YYY,,
Philippines,none,none,none,NNN,,
Poland,none,none,none,NNN,,
Portugal,Catholic,Catholic,Catholic,YYY,,
Qatar,Muslim,Muslim,Muslim,YYY,,
Romania,Orthodox,none,none,YNN,,
Russia,Orthodox,none,none,YNN,,
Rwanda,Ethno-religion,none,none,YNN,,
Samoa,Protestant,Protestant,Protestant,YYY,,
St. Kitts and Nevis,none,none,none,NNN,,
St. Lucia,none,none,none,NNN,,
St. Vincent and Grenadines,none,none,none,NNN,,
San Marino,none,none,none,NNN,,
Sao Tome and Principe,Catholic,Catholic,none,YYN,,
Saudi Arabia,Muslim,Muslim,Muslim,YYY,,
Senegal,none,none,none,NNN,,
Seychelles,none,none,none,NNN,,
Sierra Leone,none,none,none,NNN,,
Singapore,none,none,none,NNN,,
Slovak Republic,none,none,none,NNN,,
Slovenia,Catholic,none,none,YNN,,
Solomon Islands,none,none,none,NNN,,
Somalia,Muslim,Muslim,Muslim,YYY,,
South Africa,none,none,none,NNN,,
Spain,Catholic,Catholic,Catholic,YYY,,
Sri Lanka,Buddhist,Buddhist,Buddhist,YYY,,
